"case_id","abbrev","name","group_label","category","original_row_number","signal_density"
28,"ACVII","Accessory facial motor nucleus","relapse","HB",80,193000
28,"VII","Facial motor nucleus","relapse","HB",86,105457.831325
28,"VNC","Vestibular nuclei","relapse","HB",87,6500
28,"CN","Cochlear nuclei","relapse","HB",94,2146020
28,"B","Barrington's nucleus","relapse","HB",101,363000
28,"PCG","Pontine central gray","relapse","HB",103,1339103.44828
28,"PG","Pontine gray","relapse","HB",104,17915533.3333
28,"PRNc","Pontine reticular nucleus, caudal part","relapse","HB",105,2143156.25
28,"SUT","Supratrigeminal nucleus","relapse","HB",107,5313567.16418
28,"TRN","Tegmental reticular nucleus","relapse","HB",108,21408225
28,"V","Motor nucleus of trigeminal","relapse","HB",109,7835914.89362
28,"LC","Locus ceruleus","relapse","HB",112,104000
28,"LDT","Laterodorsal tegmental nucleus","relapse","HB",113,12287000
28,"PRNr","Pontine reticular nucleus","relapse","HB",115,6751035.88907
28,"SLC","Subceruleus nucleus","relapse","HB",116,2713750
28,"SLD","Sublaterodorsal nucleus","relapse","HB",117,3653518.51852
28,"NLL","Nucleus of the lateral lemniscus","relapse","HB",119,2715116.37931
28,"PB","Parabrachial nucleus","relapse","HB",120,6188897.35099
28,"PSV","Principal sensory nucleus of the trigeminal","relapse","HB",121,3957257.14286
28,"SOC","Superior olivary complex","relapse","HB",122,469788.07947
28,"LHA","Lateral hypothalamic area","relapse","HY",129,13444403.9409
28,"LPO","Lateral preoptic area","relapse","HY",130,7378195.43974
28,"PST","Preparasubthalamic nucleus","relapse","HY",131,21746000
28,"PSTN","Parasubthalamic nucleus","relapse","HY",132,25812652.1739
28,"RCH","Retrochiasmatic area","relapse","HY",133,4456086.95652
28,"STN","Subthalamic nucleus","relapse","HY",134,14752696.9697
28,"TU","Tuberal nucleus","relapse","HY",135,4462200
28,"ZI","Zona incerta","relapse","HY",136,12790070.5645
28,"AHN","Anterior hypothalamic nucleus","relapse","HY",139,15124927.5362
28,"MBO","Mammillary body","relapse","HY",140,3175705.88235
28,"PH","Posterior hypothalamic nucleus","relapse","HY",148,14735000
28,"PMv","Ventral premammillary nucleus","relapse","HY",149,1560000
28,"PVHd","Paraventricular hypothalamic nucleus, descending division","relapse","HY",150,26804800
